Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Total de dinheiro repassado aos beneficiários
Montes Claros,3151206,Pirapora,1570,1537,0.9789808917197452,295,90,0.3050847457627119,425600
Juiz de Fora,3151305,Piraúba,158,135,0.8544303797468354,70,8,0.11428571428571428,35900
Divinópolis,3151404,Pitangui,591,568,0.961082910321489,225,79,0.3511111111111111,163400
Passos,3151503,Piumhi,531,463,0.871939736346516,248,77,0.31048387096774194,123000
Uberaba,3151602,Planura,128,127,0.9921875,63,11,0.1746031746031746,31500
Varginha,3151701,Poço Fundo,116,99,0.853448275862069,130,60,0.46153846153846156,30250
Poços de Caldas,3151800,Poços de Caldas,335,313,0.9343283582089552,185,59,0.31891891891891894,88850
Governador Valadares,3151909,Pocrane,562,551,0.9804270462633452,73,33,0.4520547945205479,157800
Curvelo,3152006,Pompéu,288,250,0.8680555555555556,368,33,0.08967391304347826,62800
Muriaé,3152105,Ponte Nova,847,769,0.9079102715466352,235,62,0.26382978723404255,210850
Montes Claros,3152131,Ponto Chique,268,258,0.9626865671641791,5,3,0.6,73000
Araçuaí,3152170,Ponto dos Volantes,327,270,0.8256880733944955,45,22,0.4888888888888889,79500
Montes Claros,3152204,Porteirinha,1397,1216,0.870436649964209,614,168,0.2736156351791531,361300
Muriaé,3152303,Porto Firme,923,745,0.8071505958829902,23,15,0.6521739130434783,212400
Teófilo Otoni,3152402,Poté,613,529,0.8629690048939641,267,49,0.18352059925093633,151250
Poços de Caldas,3152501,Pouso Alegre,811,772,0.9519112207151664,292,56,0.1917808219178082,204750
Varginha,3152600,Pouso Alto,17,17,1,26,2,0.07692307692307693,3900
São João Del Rei,3152709,Prados,47,43,0.9148936170212766,28,4,0.14285714285714285,10500
Uberlândia,3152808,Prata,73,63,0.863013698630137,145,17,0.11724137931034483,18100
Passos,3152907,Pratápolis,100,100,1,96,82,0.8541666666666666,38100
Patos de Minas,3153004,Pratinha,82,82,1,35,11,0.3142857142857143,20400
Muriaé,3153103,Presidente Bernardes,319,315,0.987460815047022,55,7,0.12727272727272726,89100
Curvelo,3153202,Presidente Juscelino,73,66,0.9041095890410958,36,22,0.6111111111111112,20000
Diamantina,3153301,Presidente Kubitschek,75,73,0.9733333333333334,59,47,0.7966101694915254,26500
Patos de Minas,3153400,Presidente Olegário,394,355,0.9010152284263959,84,21,0.25,88900
Muriaé,3153509,Alto Jequitibá,307,215,0.7003257328990228,114,20,0.17543859649122806,56550
Metropolitana,3153608,Prudente de Morais,195,191,0.9794871794871794,81,34,0.41975308641975306,56600
Divinópolis,3153707,Quartel Geral,14,11,0.7857142857142857,3,0,0,2500
São João Del Rei,3153806,Queluzito,7,7,1,9,1,0.1111111111111111,1600
Metropolitana,3153905,Raposos,118,116,0.9830508474576272,78,23,0.2948717948717949,31200
Timóteo,3154002,Raul Soares,590,510,0.864406779661017,157,25,0.1592356687898089,134750
Muriaé,3154101,Recreio,37,32,0.8648648648648649,69,1,0.014492753623188406,7900
Muriaé,3154150,Reduto,219,167,0.7625570776255708,119,6,0.05042016806722689,40500
São João Del Rei,3154200,Resende Costa,59,51,0.864406779661017,52,27,0.5192307692307693,14900
Governador Valadares,3154309,Resplendor,165,140,0.8484848484848485,118,19,0.16101694915254236,36200
São João Del Rei,3154408,Ressaquinha,38,32,0.8421052631578947,11,8,0.7272727272727273,9100
Paracatu,3154457,Riachinho,380,278,0.7315789473684211,41,8,0.1951219512195122,77000
Montes Claros,3154507,Riacho dos Machados,214,170,0.794392523364486,30,16,0.5333333333333333,47900
Metropolitana,3154606,Ribeirão das Neves,7044,6879,0.9765758091993185,2605,901,0.34587332053742803,1956050
Varginha,3154705,Ribeirão Vermelho,91,87,0.9560439560439561,15,1,0.06666666666666667,23300
Metropolitana,3154804,Rio Acima,46,36,0.782608695652174,32,5,0.15625,9200
Timóteo,3154903,Rio Casca,123,103,0.8373983739837398,51,14,0.27450980392156865,27800
Timóteo,3155009,Rio Doce,32,30,0.9375,20,8,0.4,9400
Almenara,3155108,Rio do Prado,332,328,0.9879518072289156,21,16,0.7619047619047619,95900
São João Del Rei,3155207,Rio Espera,308,267,0.8668831168831169,34,26,0.7647058823529411,77850
Metropolitana,3155306,Rio Manso,85,75,0.8823529411764706,52,2,0.038461538461538464,20500
Juiz de Fora,3155405,Rio Novo,191,167,0.8743455497382199,60,10,0.16666666666666666,48100
Patos de Minas,3155504,Rio Paranaíba,83,76,0.9156626506024096,76,9,0.11842105263157894,20100
Salinas,3155603,Rio Pardo de Minas,1525,1423,0.9331147540983606,94,41,0.43617021276595747,402400
Timóteo,3155702,Rio Piracicaba,394,370,0.9390862944162437,41,9,0.21951219512195122,93950
Juiz de Fora,3155801,Rio Pomba,265,232,0.8754716981132076,84,21,0.25,62400
Juiz de Fora,3155900,Rio Preto,11,7,0.6363636363636364,1,0,0,1800
Diamantina,3156007,Rio Vermelho,601,584,0.9717138103161398,134,5,0.03731343283582089,158100
São João Del Rei,3156106,Ritápolis,64,61,0.953125,47,7,0.14893617021276595,16700
Juiz de Fora,3156205,Rochedo de Minas,33,33,1,7,0,0,8700
Juiz de Fora,3156304,Rodeiro,91,62,0.6813186813186813,52,2,0.038461538461538464,16100
Uberlândia,3156403,Romaria,53,43,0.8113207547169812,15,2,0.13333333333333333,10900
Muriaé,3156452,Rosário da Limeira,24,18,0.75,18,1,0.05555555555555555,4900
Salinas,3156502,Rubelita,600,599,0.9983333333333333,31,12,0.3870967741935484,173700
Almenara,3156601,Rubim,209,184,0.8803827751196173,14,4,0.2857142857142857,50400
Metropolitana,3156700,Sabará,1249,1123,0.899119295436349,610,165,0.27049180327868855,312100
Governador Valadares,3156809,Sabinópolis,654,631,0.9648318042813455,225,79,0.3511111111111111,171000
Uberaba,3156908,Sacramento,259,205,0.7915057915057915,143,37,0.25874125874125875,55600
Salinas,3157005,Salinas,1334,1212,0.9085457271364318,508,224,0.4409448818897638,367500
Almenara,3157104,Salto da Divisa,349,331,0.9484240687679083,36,18,0.5,92200
Metropolitana,3157203,Santa Bárbara,489,435,0.8895705521472392,48,13,0.2708333333333333,110100
Timóteo,3157252,Santa Bárbara do Leste,361,261,0.7229916897506925,39,9,0.23076923076923078,70950
Juiz de Fora,3157278,Santa Bárbara do Monte Verde,3,2,0.6666666666666666,2,0,0,500
São João Del Rei,3157302,Santa Bárbara do Tugúrio,32,20,0.625,18,8,0.4444444444444444,6200
São João Del Rei,3157336,Santa Cruz de Minas,39,36,0.9230769230769231,17,1,0.058823529411764705,8300
Salinas,3157377,Santa Cruz de Salinas,292,272,0.9315068493150684,22,10,0.45454545454545453,81500
Timóteo,3157401,Santa Cruz do Escalvado,106,101,0.9528301886792453,41,17,0.4146341463414634,26850
Governador Valadares,3157500,Santa Efigênia de Minas,235,198,0.8425531914893617,28,11,0.39285714285714285,54500
Montes Claros,3157609,Santa Fé de Minas,261,210,0.8045977011494253,22,4,0.18181818181818182,60500
Teófilo Otoni,3157658,Santa Helena de Minas,605,595,0.9834710743801653,41,3,0.07317073170731707,167500
Uberaba,3157708,Santa Juliana,37,28,0.7567567567567568,115,7,0.06086956521739131,6800
Metropolitana,3157807,Santa Luzia,5165,4881,0.9450145208131655,629,201,0.3195548489666137,1349200
Muriaé,3157906,Santa Margarida,997,730,0.7321965897693079,220,87,0.39545454545454545,214400
Timóteo,3158003,Santa Maria de Itabira,124,105,0.8467741935483871,88,1,0.011363636363636364,28100
Almenara,3158102,Santa Maria do Salto,289,285,0.986159169550173,34,14,0.4117647058823529,77400
Governador Valadares,3158201,Santa Maria do Suaçuí,933,828,0.887459807073955,144,74,0.5138888888888888,242800
Varginha,3158300,Santana da Vargem,144,138,0.9583333333333334,40,9,0.225,35100
Muriaé,3158409,Santana de Cataguases,34,33,0.9705882352941176,6,0,0,8600
Curvelo,3158508,Santana de Pirapama,147,146,0.9931972789115646,80,11,0.1375,35400
Juiz de Fora,3158607,Santana do Deserto,4,4,1,3,0,0,1100
São João Del Rei,3158706,Santana do Garambéu,53,52,0.9811320754716981,10,5,0.5,15600
Divinópolis,3158805,Santana do Jacaré,57,54,0.9473684210526315,46,3,0.06521739130434782,16000
Governador Valadares,3158904,Santana do Manhuaçu,189,121,0.6402116402116402,69,7,0.10144927536231885,28200
Timóteo,3158953,Santana do Paraíso,642,627,0.9766355140186916,133,32,0.24060150375939848,176700
Metropolitana,3159001,Santana do Riacho,162,123,0.7592592592592593,27,6,0.2222222222222222,32700
São João Del Rei,3159100,Santana dos Montes,67,53,0.7910447761194029,16,4,0.25,14700
Poços de Caldas,3159209,Santa Rita de Caldas,92,74,0.8043478260869565,67,16,0.23880597014925373,20350
Juiz de Fora,3159308,Santa Rita de Jacutinga,23,17,0.7391304347826086,11,0,0,4400
Timóteo,3159357,Santa Rita de Minas,88,70,0.7954545454545454,51,11,0.21568627450980393,18300
São João Del Rei,3159407,Santa Rita de Ibitipoca,81,81,1,14,11,0.7857142857142857,23900
Governador Valadares,3159506,Santa Rita do Itueto,237,213,0.8987341772151899,27,5,0.18518518518518517,52000
Poços de Caldas,3159605,Santa Rita do Sapucaí,25,17,0.68,352,81,0.23011363636363635,12200
Patos de Minas,3159704,Santa Rosa da Serra,126,126,1,20,6,0.3,30400
Ituiutaba,3159803,Santa Vitória,194,148,0.7628865979381443,123,11,0.08943089430894309,39450
Divinópolis,3159902,Santo Antônio do Amparo,735,691,0.9401360544217687,138,33,0.2391304347826087,179000
Juiz de Fora,3160009,Santo Antônio do Aventureiro,57,52,0.9122807017543859,19,7,0.3684210526315789,16000
Timóteo,3160108,Santo Antônio do Grama,130,127,0.9769230769230769,17,11,0.6470588235294118,32200
Diamantina,3160207,Santo Antônio do Itambé,208,131,0.6298076923076923,43,1,0.023255813953488372,35400
Almenara,3160306,Santo Antônio do Jacinto,521,508,0.9750479846449136,97,22,0.2268041237113402,136500
Divinópolis,3160405,Santo Antônio do Monte,107,104,0.9719626168224299,125,15,0.12,30200
Montes Claros,3160454,Santo Antônio do Retiro,448,436,0.9732142857142857,10,2,0.2,114600
Timóteo,3160504,Santo Antônio do Rio Abaixo,86,86,1,34,28,0.8235294117647058,28700
Curvelo,3160603,Santo Hipólito,154,151,0.9805194805194806,12,6,0.5,39700
Juiz de Fora,3160702,Santos Dumont,865,787,0.9098265895953758,321,104,0.32398753894080995,216300
Varginha,3160801,São Bento Abade,45,45,1,47,9,0.19148936170212766,12900
São João Del Rei,3160900,São Brás do Suaçuí,8,8,1,6,3,0.5,2300
Timóteo,3160959,São Domingos das Dores,100,87,0.87,75,10,0.13333333333333333,22000
Timóteo,3161007,São Domingos do Prata,302,270,0.8940397350993378,182,19,0.1043956043956044,65150
Governador Valadares,3161056,São Félix de Minas,157,136,0.8662420382165605,14,0,0,33200
Montes Claros,3161106,São Francisco,3965,3548,0.8948297604035309,477,240,0.5031446540880503,1044700
Divinópolis,3161205,São Francisco de Paula,70,49,0.7,48,1,0.020833333333333332,11700
Ituiutaba,3161304,São Francisco de Sales,32,23,0.71875,8,0,0,5800
Muriaé,3161403,São Francisco do Glória,147,132,0.8979591836734694,40,3,0.075,38700
Muriaé,3161502,São Geraldo,178,117,0.6573033707865169,72,6,0.08333333333333333,28000
Governador Valadares,3161601,São Geraldo da Piedade,169,159,0.9408284023668639,11,1,0.09090909090909091,41000
Governador Valadares,3161650,São Geraldo do Baixio,116,97,0.8362068965517241,40,5,0.125,25200
Patos de Minas,3161700,São Gonçalo do Abaeté,163,151,0.9263803680981595,19,3,0.15789473684210525,40550
Divinópolis,3161809,São Gonçalo do Pará,54,44,0.8148148148148148,64,8,0.125,12300
Timóteo,3161908,São Gonçalo do Rio Abaixo,101,89,0.8811881188118812,50,7,0.14,21200
Varginha,3162005,São Gonçalo do Sapucaí,224,207,0.9241071428571429,291,47,0.16151202749140894,54550
Patos de Minas,3162104,São Gotardo,57,53,0.9298245614035088,468,39,0.08333333333333333,16200
Passos,3162203,São João Batista do Glória,25,22,0.88,38,0,0,6100
Montes Claros,3162252,São João da Lagoa,223,200,0.8968609865470852,34,19,0.5588235294117647,58300
Varginha,3162302,São João da Mata,66,53,0.803030303030303,8,3,0.375,12800
Montes Claros,3162401,São João da Ponte,1036,950,0.916988416988417,127,61,0.48031496062992124,274850
Montes Claros,3162450,São João das Missões,1367,1331,0.9736649597659107,243,88,0.36213991769547327,381900
São João Del Rei,3162500,São João del Rei,902,813,0.9013303769401331,583,109,0.18696397941680962,221550
Muriaé,3162559,São João do Manhuaçu,416,325,0.78125,37,9,0.24324324324324326,86800
Governador Valadares,3162575,São João do Manteninha,114,86,0.7543859649122807,23,2,0.08695652173913043,23100
Timóteo,3162609,São João do Oriente,366,343,0.9371584699453552,43,12,0.27906976744186046,97600
Montes Claros,3162658,São João do Pacuí,287,283,0.9860627177700348,25,11,0.44,83300
Salinas,3162708,São João do Paraíso,813,802,0.986469864698647,311,123,0.3954983922829582,224700
Governador Valadares,3162807,São João Evangelista,621,577,0.92914653784219,142,29,0.20422535211267606,145300
Juiz de Fora,3162906,São João Nepomuceno,357,329,0.9215686274509803,110,27,0.24545454545454545,85750
Metropolitana,3162922,São Joaquim de Bicas,744,643,0.864247311827957,193,59,0.30569948186528495,185050
Passos,3162948,São José da Barra,60,48,0.8,45,17,0.37777777777777777,14500
Metropolitana,3162955,São José da Lapa,367,352,0.9591280653950953,51,8,0.1568627450980392,92400
Governador Valadares,3163003,São José da Safira,282,273,0.9680851063829787,22,7,0.3181818181818182,78600
Metropolitana,3163102,São José da Varginha,18,18,1,63,11,0.1746031746031746,6100
Poços de Caldas,3163201,São José do Alegre,67,60,0.8955223880597015,15,3,0.2,16900
Governador Valadares,3163300,São José do Divino,252,249,0.9880952380952381,21,4,0.19047619047619047,65800
Timóteo,3163409,São José do Goiabal,181,169,0.9337016574585635,52,17,0.3269230769230769,45250
Governador Valadares,3163508,São José do Jacuri,440,425,0.9659090909090909,66,40,0.6060606060606061,118050
Governador Valadares,3163607,São José do Mantimento,104,103,0.9903846153846154,18,0,0,24100
Varginha,3163706,São Lourenço,309,297,0.9611650485436893,241,50,0.2074688796680498,79100
Muriaé,3163805,São Miguel do Anta,326,312,0.9570552147239264,11,7,0.6363636363636364,81800
Passos,3163904,São Pedro da União,34,34,1,95,64,0.6736842105263158,16600
Timóteo,3164001,São Pedro dos Ferros,109,106,0.9724770642201835,54,27,0.5,32950
Governador Valadares,3164100,São Pedro do Suaçuí,347,276,0.7953890489913544,24,6,0.25,76500
Montes Claros,3164209,São Romão,603,573,0.9502487562189055,31,23,0.7419354838709677,159600
Passos,3164308,São Roque de Minas,52,45,0.8653846153846154,42,13,0.30952380952380953,14000
Varginha,3164407,São Sebastião da Bela Vista,37,33,0.8918918918918919,69,49,0.7101449275362319,14550
Muriaé,3164431,São Sebastião da Vargem Alegre,10,5,0.5,16,0,0,1500
Timóteo,3164472,São Sebastião do Anta,248,199,0.8024193548387096,12,5,0.4166666666666667,52100
Governador Valadares,3164506,São Sebastião do Maranhão,663,575,0.8672699849170438,184,42,0.22826086956521738,169200
Divinópolis,3164605,São Sebastião do Oeste,35,27,0.7714285714285715,25,8,0.32,8100
Passos,3164704,São Sebastião do Paraíso,701,675,0.9629101283880172,439,258,0.5876993166287016,204350
Timóteo,3164803,São Sebastião do Rio Preto,37,36,0.972972972972973,14,11,0.7857142857142857,11400
Varginha,3164902,São Sebastião do Rio Verde,4,4,1,4,0,0,800
São João Del Rei,3165008,São Tiago,86,84,0.9767441860465116,122,95,0.7786885245901639,33200
Passos,3165107,São Tomás de Aquino,138,133,0.9637681159420289,67,38,0.5671641791044776,38400
Varginha,3165206,São Thomé das Letras,138,130,0.9420289855072463,48,30,0.625,39500
São João Del Rei,3165305,São Vicente de Minas,118,106,0.8983050847457628,58,1,0.017241379310344827,23700
Poços de Caldas,3165404,Sapucaí Mirim,83,77,0.927710843373494,30,6,0.2,20800
Governador Valadares,3165503,Sardoá,249,207,0.8313253012048193,18,4,0.2222222222222222,53450
Metropolitana,3165537,Sarzedo,307,290,0.9446254071661238,205,43,0.2097560975609756,80900
Teófilo Otoni,3165552,Setubinha,1665,1641,0.9855855855855856,109,25,0.22935779816513763,473600
Timóteo,3165560,Sem-Peixe,77,75,0.974025974025974,12,3,0.25,19000
Poços de Caldas,3165578,Senador Amaral,107,71,0.6635514018691588,125,18,0.144,20800
Juiz de Fora,3165602,Senador Cortês,5,3,0.6,11,1,0.09090909090909091,700
Juiz de Fora,3165701,Senador Firmino,178,148,0.8314606741573034,106,7,0.0660377358490566,37050
Poços de Caldas,3165800,Senador José Bento,11,6,0.5454545454545454,4,0,0,1800
Diamantina,3165909,Senador Modestino Gonçalves,96,96,1,26,2,0.07692307692307693,23700
São João Del Rei,3166006,Senhora de Oliveira,208,208,1,68,55,0.8088235294117647,65100
Governador Valadares,3166105,Senhora do Porto,155,150,0.967741935483871,37,19,0.5135135135135135,41850
São João Del Rei,3166204,Senhora dos Remédios,743,663,0.892328398384926,42,11,0.2619047619047619,187350
Muriaé,3166303,Sericita,267,251,0.9400749063670412,98,3,0.030612244897959183,66500
Juiz de Fora,3166402,Seritinga,1,1,1,2,0,0,200
Diamantina,3166501,Serra Azul de Minas,395,377,0.9544303797468354,65,29,0.4461538461538462,111000
Teófilo Otoni,3166709,Serra dos Aimorés,203,202,0.9950738916256158,154,40,0.2597402597402597,60300
Patos de Minas,3166808,Serra do Salitre,484,448,0.9256198347107438,35,4,0.11428571428571428,114200
Poços de Caldas,3166907,Serrania,175,167,0.9542857142857143,76,13,0.17105263157894737,43400
Montes Claros,3166956,Serranópolis de Minas,225,200,0.8888888888888888,21,18,0.8571428571428571,59600
Juiz de Fora,3167004,Serranos,31,27,0.8709677419354839,1,0,0,6900
Diamantina,3167103,Serro,807,709,0.8785625774473358,398,117,0.29396984924623115,200700
Metropolitana,3167202,Sete Lagoas,2126,2073,0.9750705550329257,989,289,0.29221435793731043,586200
Juiz de Fora,3167301,Silveirânia,43,43,1,18,8,0.4444444444444444,12300
Varginha,3167400,Silvianópolis,164,121,0.7378048780487805,25,6,0.24,32300
Juiz de Fora,3167509,Simão Pereira,13,7,0.5384615384615384,7,0,0,1600
Timóteo,3167608,Simonésia,264,166,0.6287878787878788,547,38,0.06946983546617916,44500
Governador Valadares,3167707,Sobrália,260,255,0.9807692307692307,10,1,0.1,69000
Varginha,3167806,Soledade de Minas,16,15,0.9375,62,22,0.3548387096774194,5700
Juiz de Fora,3167905,Tabuleiro,39,34,0.8717948717948718,41,11,0.2682926829268293,10600
Salinas,3168002,Taiobeiras,1159,1050,0.90595340811044,252,104,0.4126984126984127,310150
Governador Valadares,3168051,Taparuba,150,110,0.7333333333333333,13,1,0.07692307692307693,28600
Uberaba,3168101,Tapira,11,9,0.8181818181818182,6,0,0,2100
Divinópolis,3168200,Tapiraí,3,3,1,3,0,0,900
Metropolitana,3168309,Taquaraçu de Minas,61,53,0.8688524590163934,9,1,0.1111111111111111,14500
Governador Valadares,3168408,Tarumirim,623,601,0.9646869983948636,144,36,0.25,154200
Muriaé,3168507,Teixeiras,226,211,0.9336283185840708,83,14,0.1686746987951807,63900
Teófilo Otoni,3168606,Teófilo Otoni,3439,3075,0.894155277697005,1424,442,0.3103932584269663,871750
Timóteo,3168705,Timóteo,723,689,0.9529737206085753,352,120,0.3409090909090909,192100
São João Del Rei,3168804,Tiradentes,120,106,0.8833333333333333,41,2,0.04878048780487805,25300
Patos de Minas,3168903,Tiros,95,75,0.7894736842105263,42,2,0.047619047619047616,19000
Juiz de Fora,3169000,Tocantins,217,158,0.728110599078341,164,24,0.14634146341463414,42600
Poços de Caldas,3169059,Tocos do Moji,26,18,0.6923076923076923,18,2,0.1111111111111111,3900
Poços de Caldas,3169109,Toledo,14,4,0.2857142857142857,46,0,0,1000
Muriaé,3169208,Tombos,175,160,0.9142857142857143,90,10,0.1111111111111111,42400
Varginha,3169307,Três Corações,504,486,0.9642857142857143,521,149,0.28598848368522073,136800
Curvelo,3169356,Três Marias,236,225,0.9533898305084746,120,24,0.2,65600
Varginha,3169406,Três Pontas,798,760,0.9523809523809523,369,87,0.23577235772357724,215800
Governador Valadares,3169505,Tumiritinga,400,385,0.9625,20,9,0.45,100600
Uberlândia,3169604,Tupaciguara,846,805,0.9515366430260047,172,36,0.20930232558139536,209000
Araçuaí,3169703,Turmalina,681,666,0.9779735682819384,294,89,0.30272108843537415,194300
Varginha,3169802,Turvolândia,29,27,0.9310344827586207,94,11,0.11702127659574468,7000
Juiz de Fora,3169901,Ubá,440,393,0.8931818181818182,995,154,0.15477386934673368,116700
Montes Claros,3170008,Ubaí,1093,969,0.8865507776761208,93,39,0.41935483870967744,286100
Timóteo,3170057,Ubaporanga,561,495,0.8823529411764706,145,39,0.2689655172413793,140300
Uberaba,3170107,Uberaba,1276,1219,0.9553291536050157,819,262,0.3199023199023199,343400
Uberlândia,3170206,Uberlândia,2400,2240,0.9333333333333333,1732,518,0.29907621247113164,635350
Teófilo Otoni,3170305,Umburatiba,144,141,0.9791666666666666,6,4,0.6666666666666666,40400
Paracatu,3170404,Unaí,908,779,0.8579295154185022,657,145,0.2207001522070015,226350
Ituiutaba,3170438,União de Minas,132,125,0.946969696969697,22,6,0.2727272727272727,36900
Paracatu,3170479,Uruana de Minas,43,26,0.6046511627906976,10,0,0,6700
Timóteo,3170503,Urucânia,134,115,0.8582089552238806,56,14,0.25,31100
Montes Claros,3170529,Urucuia,210,202,0.9619047619047619,60,14,0.23333333333333334,49100
Timóteo,3170578,Vargem Alegre,202,199,0.9851485148514851,21,4,0.19047619047619047,55400
Passos,3170602,Vargem Bonita,46,39,0.8478260869565217,15,5,0.3333333333333333,10900
Salinas,3170651,Vargem Grande do Rio Pardo,224,213,0.9508928571428571,27,5,0.18518518518518517,61600
Varginha,3170701,Varginha,528,507,0.9602272727272727,438,95,0.21689497716894976,140550
Patos de Minas,3170750,Varjão de Minas,69,63,0.9130434782608695,49,7,0.14285714285714285,16650
Montes Claros,3170800,Várzea da Palma,494,470,0.951417004048583,545,118,0.21651376146788992,131100
Montes Claros,3170909,Varzelândia,1710,1576,0.9216374269005848,165,52,0.3151515151515151,458500
Paracatu,3171006,Vazante,279,247,0.8853046594982079,200,39,0.195,64800
Montes Claros,3171030,Verdelândia,624,511,0.8189102564102564,81,18,0.2222222222222222,153600
Diamantina,3171071,Veredinha,213,196,0.92018779342723,39,12,0.3076923076923077,57700
Uberaba,3171105,Veríssimo,37,36,0.972972972972973,16,9,0.5625,10500
Timóteo,3171154,Vermelho Novo,241,185,0.7676348547717843,14,0,0,44400
Metropolitana,3171204,Vespasiano,1245,1202,0.9654618473895582,292,79,0.2705479452054795,319600
Muriaé,3171303,Viçosa,570,492,0.8631578947368421,405,67,0.1654320987654321,133600
Muriaé,3171402,Vieiras,18,7,0.3888888888888889,4,1,0.25,1600
Governador Valadares,3171501,Mathias Lobato,250,227,0.908,23,11,0.4782608695652174,61600
Araçuaí,3171600,Virgem da Lapa,609,503,0.825944170771757,99,39,0.3939393939393939,149500
Varginha,3171709,Virgínia,151,122,0.8079470198675497,77,22,0.2857142857142857,31200
Governador Valadares,3171808,Virginópolis,127,89,0.7007874015748031,108,11,0.10185185185185185,26550
Governador Valadares,3171907,Virgolândia,233,232,0.9957081545064378,49,17,0.3469387755102041,65600
Muriaé,3172004,Visconde do Rio Branco,262,205,0.7824427480916031,450,58,0.1288888888888889,59250
Muriaé,3172103,Volta Grande,81,78,0.9629629629629629,5,0,0,19200
Poços de Caldas,3172202,Wenceslau Braz,42,35,0.8333333333333334,32,1,0.03125,9000
NA,NA,NA,0,0,NA,0,0,0,0
