"","Diretoria.Regional","Código.IBGE","municipio","n_alunos","n_alunos_recebeu","perc_alunos_recebeu","n_alunos_pobres","n_alunos_recebeu_pobres","perc_alunos_recebeu_pobres"
"138","Ituiutaba",3112604,"CAPINOPOLIS",261,255,0.977011494252874,127,74,0.582677165354331
"139","Governador Valadares",3112653,"CAPITAO ANDRADE",218,190,0.871559633027523,19,4,0.210526315789474
"140","Montes Claros",3112703,"CAPITAO ENEAS",1006,953,0.947316103379722,142,73,0.514084507042254
"141","Passos",3112802,"CAPITOLIO",22,22,1,54,3,0.0555555555555556
"142","Muriaé",3112901,"CAPUTIRA",337,216,0.640949554896142,82,5,0.0609756097560976
"143","Teófilo Otoni",3113008,"CARAI",1562,1434,0.918053777208707,182,38,0.208791208791209
"144","São João Del Rei",3113107,"CARANAIBA",107,107,1,15,4,0.266666666666667
"145","São João Del Rei",3113206,"CARANDAI",269,245,0.910780669144981,122,29,0.237704918032787
"146","Muriaé",3113305,"CARANGOLA",1160,1066,0.918965517241379,230,40,0.173913043478261
"147","Timóteo",3113404,"CARATINGA",1012,913,0.902173913043478,1251,200,0.159872102318145
"148","Diamantina",3113503,"CARBONITA",306,301,0.983660130718954,64,29,0.453125
"149","Varginha",3113602,"CAREACU",58,42,0.724137931034483,104,21,0.201923076923077
"150","Teófilo Otoni",3113701,"CARLOS CHAGAS",496,411,0.828629032258065,62,23,0.370967741935484
"151","Timóteo",3113800,"CARMESIA",44,37,0.840909090909091,12,3,0.25
"152","Varginha",3113909,"CARMO DA CACHOEIRA",154,140,0.909090909090909,365,27,0.073972602739726
"153","Divinópolis",3114006,"CARMO DA MATA",145,130,0.896551724137931,65,10,0.153846153846154
"154","Varginha",3114105,"CARMO DE MINAS",398,383,0.962311557788945,144,31,0.215277777777778
"155","Divinópolis",3114204,"CARMO DO CAJURU",68,59,0.867647058823529,81,9,0.111111111111111
"156","Patos de Minas",3114303,"CARMO DO PARANAIBA",313,287,0.916932907348243,187,29,0.155080213903743
"157","Passos",3114402,"CARMO DO RIO CLARO",259,239,0.922779922779923,203,48,0.236453201970443
"158","Divinópolis",3114501,"CARMOPOLIS DE MINAS",87,63,0.724137931034483,143,5,0.034965034965035
"159","Ituiutaba",3114550,"CARNEIRINHO",70,59,0.842857142857143,64,1,0.015625
"160","São João Del Rei",3114600,"CARRANCAS",30,25,0.833333333333333,48,2,0.0416666666666667
"161","Varginha",3114709,"CARVALHOPOLIS",5,4,0.8,11,6,0.545454545454545
"162","Juiz de Fora",3114808,"CARVALHOS",143,132,0.923076923076923,13,0,0
"163","São João Del Rei",3114907,"CASA GRANDE",8,8,1,10,1,0.1
"164","Uberlândia",3115003,"CASCALHO RICO",25,25,1,5,2,0.4
"165","Passos",3115102,"CASSIA",308,278,0.902597402597403,143,28,0.195804195804196
"166","Muriaé",3115300,"CATAGUASES",565,503,0.890265486725664,649,120,0.184899845916795
"167","Metropolitana",3115359,"CATAS ALTAS",45,41,0.911111111111111,30,4,0.133333333333333
"168","São João Del Rei",3115409,"CATAS ALTAS DA NORUEGA",196,178,0.908163265306122,74,32,0.432432432432432
"169","Teófilo Otoni",3115458,"CATUJI",597,523,0.876046901172529,61,14,0.229508196721311
"170","Montes Claros",3115474,"CATUTI",326,287,0.880368098159509,18,5,0.277777777777778
"171","Varginha",3115508,"CAXAMBU",438,426,0.972602739726027,182,33,0.181318681318681
"172","Divinópolis",3115607,"CEDRO DO ABAETE",41,41,1,12,7,0.583333333333333
"173","Governador Valadares",3115706,"CENTRAL DE MINAS",366,310,0.846994535519126,13,6,0.461538461538462
"174","Ituiutaba",3115805,"CENTRALINA",228,214,0.93859649122807,23,5,0.217391304347826
"175","Juiz de Fora",3115904,"CHACARA",19,13,0.684210526315789,5,0,0
"176","Governador Valadares",3116001,"CHALE",397,340,0.856423173803526,18,0,0
"177","Araçuaí",3116100,"CHAPADA DO NORTE",750,714,0.952,152,50,0.328947368421053
"178","Montes Claros",3116159,"CHAPADA GAUCHA",677,619,0.914327917282127,68,23,0.338235294117647
"179","Juiz de Fora",3116209,"CHIADOR",21,20,0.952380952380952,0,0,0
"180","São João Del Rei",3116308,"CIPOTANEA",382,376,0.984293193717278,51,22,0.431372549019608
"181","Passos",3116407,"CLARAVAL",86,86,1,22,8,0.363636363636364
"182","Montes Claros",3116506,"CLARO DOS POCOES",436,410,0.940366972477064,80,28,0.35
"183","Divinópolis",3116605,"CLAUDIO",134,132,0.985074626865672,137,51,0.372262773722628
"184","Muriaé",3116704,"COIMBRA",179,93,0.519553072625698,78,6,0.0769230769230769
"185","Diamantina",3116803,"COLUNA",651,526,0.807987711213518,107,37,0.345794392523364
"186","Uberaba",3116902,"COMENDADOR GOMES",27,21,0.777777777777778,1,0,0
"187","Araçuaí",3117009,"COMERCINHO",475,434,0.913684210526316,22,7,0.318181818181818
"188","Passos",3117108,"CONCEICAO DA APARECIDA",156,119,0.762820512820513,123,14,0.113821138211382
"189","São João Del Rei",3115201,"CONCEICAO DA BARRA DE MINAS",119,114,0.957983193277311,45,15,0.333333333333333
"190","Uberaba",3117306,"CONCEICAO DAS ALAGOAS",151,139,0.920529801324503,238,33,0.138655462184874
"191","Varginha",3117207,"CONCEICAO DAS PEDRAS",69,66,0.956521739130435,18,10,0.555555555555556
"192","Governador Valadares",3117405,"CONCEICAO DE IPANEMA",189,122,0.645502645502645,6,1,0.166666666666667
"193","Diamantina",3117504,"CONCEICAO DO MATO DENTRO",776,631,0.813144329896907,193,42,0.217616580310881
"194","Divinópolis",3117603,"CONCEICAO DO PARA",116,71,0.612068965517241,68,5,0.0735294117647059
"195","Varginha",3117702,"CONCEICAO DO RIO VERDE",373,350,0.938337801608579,155,24,0.154838709677419
"196","Poços de Caldas",3117801,"CONCEICAO DOS OUROS",57,46,0.807017543859649,66,7,0.106060606060606
"197","Montes Claros",3117836,"CONEGO MARINHO",674,608,0.902077151335312,39,20,0.512820512820513
"198","Metropolitana",3117876,"CONFINS",48,47,0.979166666666667,16,4,0.25
"199","Poços de Caldas",3117900,"CONGONHAL",92,71,0.771739130434783,101,4,0.0396039603960396
"200","São João Del Rei",3118007,"CONGONHAS",49,42,0.857142857142857,109,8,0.073394495412844
"201","Curvelo",3118106,"CONGONHAS DO NORTE",294,294,1,44,13,0.295454545454545
"202","Uberaba",3118205,"CONQUISTA",110,107,0.972727272727273,35,3,0.0857142857142857
"203","São João Del Rei",3118304,"CONSELHEIRO LAFAIETE",324,295,0.910493827160494,717,112,0.156206415620642
"204","Governador Valadares",3118403,"CONSELHEIRO PENA",803,697,0.86799501867995,115,25,0.217391304347826
"205","Poços de Caldas",3118502,"CONSOLACAO",57,57,1,3,2,0.666666666666667
"206","Metropolitana",3118601,"CONTAGEM",5364,5109,0.952460850111857,1616,303,0.1875
"207","Varginha",3118700,"COQUEIRAL",261,257,0.984674329501916,115,22,0.191304347826087
"208","Montes Claros",3118809,"CORACAO DE JESUS",2379,2303,0.968053804119378,111,45,0.405405405405405
"209","Curvelo",3118908,"CORDISBURGO",378,373,0.986772486772487,36,6,0.166666666666667
"210","Varginha",3119005,"CORDISLANDIA",123,117,0.951219512195122,15,3,0.2
"211","Curvelo",3119104,"CORINTO",438,411,0.938356164383562,119,24,0.201680672268908
"212","Governador Valadares",3119203,"COROACI",354,278,0.785310734463277,32,9,0.28125
"213","Patos de Minas",3119302,"COROMANDEL",286,255,0.891608391608392,424,58,0.136792452830189
"214","Timóteo",3119401,"CORONEL FABRICIANO",1590,1570,0.987421383647799,587,125,0.212947189097104
"215","Araçuaí",3119500,"CORONEL MURTA",340,327,0.961764705882353,42,9,0.214285714285714
"216","Juiz de Fora",3119609,"CORONEL PACHECO",20,20,1,0,0,0
"217","São João Del Rei",3119708,"CORONEL XAVIER CHAVES",16,16,1,42,0,0
"218","Divinópolis",3119807,"CORREGO DANTA",37,34,0.918918918918919,11,4,0.363636363636364
"219","Poços de Caldas",3119906,"CORREGO DO BOM JESUS",33,19,0.575757575757576,25,1,0.04
"220","Divinópolis",3119955,"CORREGO FUNDO",7,7,1,4,0,0
"221","Timóteo",3120003,"CORREGO NOVO",115,108,0.939130434782609,23,17,0.739130434782609
"222","Diamantina",3120102,"COUTO DE MAGALHAES DE MINAS",166,160,0.963855421686747,23,11,0.478260869565217
"223","Teófilo Otoni",3120151,"CRISOLITA",265,225,0.849056603773585,34,10,0.294117647058824
"224","Divinópolis",3120201,"CRISTAIS",73,67,0.917808219178082,74,4,0.0540540540540541
"225","Montes Claros",3120300,"CRISTALIA",692,669,0.966763005780347,20,4,0.2
"226","São João Del Rei",3120409,"CRISTIANO OTONI",75,68,0.906666666666667,16,8,0.5
"227","Varginha",3120508,"CRISTINA",90,78,0.866666666666667,117,10,0.0854700854700855
"228","Divinópolis",3120607,"CRUCILANDIA",129,122,0.945736434108527,49,4,0.0816326530612245
"229","Patos de Minas",3120706,"CRUZEIRO DA FORTALEZA",31,26,0.838709677419355,8,0,0
"230","Varginha",3120805,"CRUZILIA",351,322,0.917378917378917,45,12,0.266666666666667
"231","Governador Valadares",3120839,"CUPARAQUE",89,83,0.932584269662921,13,0,0
"232","Salinas",3120870,"CURRAL DE DENTRO",658,616,0.936170212765957,27,12,0.444444444444444
"233","Curvelo",3120904,"CURVELO",1455,1351,0.928522336769759,500,134,0.268
"234","Diamantina",3121001,"DATAS",132,103,0.78030303030303,38,12,0.315789473684211
"235","Poços de Caldas",3121100,"DELFIM MOREIRA",66,46,0.696969696969697,79,9,0.113924050632911
"236","Passos",3121209,"DELFINOPOLIS",27,24,0.888888888888889,50,19,0.38
"237","Uberaba",3121258,"DELTA",82,70,0.853658536585366,12,3,0.25
"238","Juiz de Fora",3121308,"DESCOBERTO",73,58,0.794520547945205,15,7,0.466666666666667
"239","São João Del Rei",3121407,"DESTERRO DE ENTRE RIOS",108,102,0.944444444444444,76,5,0.0657894736842105
"240","São João Del Rei",3121506,"DESTERRO DO MELO",39,35,0.897435897435897,2,0,0
"241","Diamantina",3121605,"DIAMANTINA",1514,1439,0.950462351387054,485,123,0.25360824742268
"242","Timóteo",3121704,"DIOGO DE VASCONCELOS",177,176,0.994350282485876,19,10,0.526315789473684
"243","Timóteo",3121803,"DIONISIO",265,248,0.935849056603774,73,24,0.328767123287671
"244","Juiz de Fora",3121902,"DIVINESIA",33,30,0.909090909090909,37,19,0.513513513513513
